SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,21 Father Francis Gilday #112,Boston,MA,02118,1255000,2,2.0,Boston,1247,1247,2006,3,1006,913,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/21-Father-Francis-Gilday-St-02118/unit-112/home/21719329,MLS PIN,72628131,N,Y,42.3371558,-71.0732041
MLS Listing,,Condo/Co-op,81 Cass St #1,Boston,MA,02132,474900,2,1.0,West Roxbury,1068,,1912,3,445,160,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/81-Cass-St-02132/unit-1/home/113912898,MLS PIN,72628108,N,Y,42.2746907,-71.1618848
MLS Listing,,Condo/Co-op,25 Clark St #2,Boston,MA,02109,835000,3,2.0,North End,1102,,1910,3,758,400,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/25-Clark-St-02109/unit-2/home/18982620,MLS PIN,72628099,N,Y,42.3649544,-71.0525365
MLS Listing,,Condo/Co-op,360 Market St Unit 12A,Boston,MA,02135,299000,1,1.0,Brighton,410,,1967,3,729,218,Active,March-8-2020 01:30 PM,March-8-2020 03:30 PM,http://www.redfin.com/MA/Brighton/360-Market-St-02135/unit-12A/home/9025863,MLS PIN,72628077,N,Y,42.3507035,-71.152232
MLS Listing,,Condo/Co-op,257 Marlborough St #2,Boston,MA,02116,559000,0,1.0,Back Bay,449,449,1920,3,1245,249,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/257-Marlborough-St-02116/unit-2/home/9247315,MLS PIN,72628072,N,Y,42.352030363,-71.0825171
MLS Listing,,Condo/Co-op,141 Arlington St #4,Boston,MA,02116,399000,1,1.0,Bay Village,357,,1899,3,1118,295,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/141-Arlington-St-02116/unit-4/home/9319991,MLS PIN,72628068,N,Y,42.3485793,-71.0696122
MLS Listing,,Condo/Co-op,81 Penfield St #81,Boston,MA,02131,479000,2,1.0,Roslindale,1072,,1910,3,447,184,Active,March-8-2020 11:00 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/81-Penfield-St-02131/unit-000081/home/9317898,MLS PIN,72628043,N,Y,42.2861385,-71.1350652
MLS Listing,,Condo/Co-op,30 Dwight St #1,Boston,MA,02118,1450000,2,1.5,South End,1358,,1890,3,1068,283,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/30-Dwight-St-02118/unit-1/home/12418935,MLS PIN,72628037,N,Y,42.3441903,-71.0689812
MLS Listing,,Condo/Co-op,535 Harrison Ave Unit A205,Boston,MA,02118,1150000,2,2.0,South End,1123,,2002,3,1024,593,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/535-Harrison-Ave-02118/unit-A205/home/9321239,MLS PIN,72628011,N,Y,42.3415071,-71.067762
MLS Listing,,Multi-Family (2-4 Unit),17 Wachusett St,Boston,MA,02130,1450000,9,3.0,Jamaica Plain,4149,3698,1900,3,349,,Active,March-8-2020 11:30 AM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/17-Wachusett-St-02130/home/9151654,MLS PIN,72627991,N,Y,42.2971643,-71.1125667
MLS Listing,,Condo/Co-op,51 Silver St #4,Boston,MA,02127,1699000,3,2.0,South Boston,1605,,2019,3,1059,613,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/51-Silver-St-02127/unit-4/home/162456571,MLS PIN,72627976,N,Y,42.3410063,-71.0554702
MLS Listing,,Condo/Co-op,42 8th St #2327,Boston,MA,02129,505000,1,1.0,Charlestown's Navy Yard,685,,1899,3,737,537,Active,March-8-2020 01:00 PM,March-8-2020 02:30 PM,http://www.redfin.com/MA/Boston/42-8th-St-02129/unit-2327/home/9323239,MLS PIN,72627966,N,Y,42.3749988,-71.0520878
MLS Listing,,Condo/Co-op,250 Poplar St #2,Boston,MA,02131,450000,2,1.0,Roslindale,975,,1900,3,462,200,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/250-Poplar-St-02131/unit-2/home/9325100,MLS PIN,72627907,N,Y,42.2811618,-71.1253721
MLS Listing,,Single Family Residential,38 Baker St,Boston,MA,02132,625000,3,1.0,West Roxbury,1594,6697,1920,3,392,,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/West-Roxbury/38-Baker-St-02132/home/11836533,MLS PIN,72627896,N,Y,42.2716189,-71.1634879
MLS Listing,,Townhouse,45 Chelsea St #45,Boston,MA,02129,1489000,3,2.5,Charlestown,1849,,2000,3,805,1018,Active,March-8-2020 11:00 AM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/45-Chelsea-St-02129/unit-45/home/113239014,MLS PIN,72627869,N,Y,42.3725051,-71.0596903
MLS Listing,,Condo/Co-op,20 Chestnut St #1,Boston,MA,02108,7995000,4,3.5,Beacon Hill,3640,,1880,3,2196,1150,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/20-Chestnut-St-02108/unit-1/home/146727795,MLS PIN,72627861,N,Y,42.3575059,-71.0670744
MLS Listing,,Multi-Family (2-4 Unit),6 Chilcott Pl,Boston,MA,02130,1475000,9,3.0,Jamaica Plain,3029,3029,1900,3,487,,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/6-Chilcott-Pl-02130/home/9145488,MLS PIN,72627848,N,Y,42.3135716,-71.1000327
MLS Listing,,Condo/Co-op,38 Colonial Ave #1,Boston,MA,02124,599900,3,2.0,Dorchester's Codman Square,1185,,2020,3,506,9999999,Active,March-8-2020 11:30 AM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/38-Colonial-Ave-02124/unit-1/home/167130226,MLS PIN,72627843,N,Y,42.290335,-71.076491
MLS Listing,,Townhouse,228 Webster Unit TH,Boston,MA,02128,999000,2,2.5,East Boston's Jeffries Point,1610,,2019,3,620,252,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/228-Webster-St-02128/unit-TH/home/170951800,MLS PIN,72627836,N,Y,42.3649902,-71.0325394
MLS Listing,,Condo/Co-op,286-288 Cambridge St #5,Boston,MA,02114,529000,1,1.0,Beacon Hill,435,435,1899,3,1216,296,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/286-Cambridge-St-02114/unit-5/home/9236969,MLS PIN,72627812,N,Y,42.3609191,-71.0681826
MLS Listing,,Condo/Co-op,340 W 2nd St #13,Boston,MA,02127,875000,2,2.0,South Boston,1075,,2019,3,814,194,Active,,,http://www.redfin.com/MA/Boston/340-W-2nd-St-02127/unit-13/home/167181802,MLS PIN,72627800,N,Y,42.338786,-71.0467604
MLS Listing,,Condo/Co-op,54 Green St #2,Boston,MA,02130,695000,2,2.0,Jamaica Plain,1123,,1920,3,619,150,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/54-Green-St-02130/unit-2/home/18998199,MLS PIN,72627767,N,Y,42.3122772,-71.1108761
MLS Listing,,Single Family Residential,34 Brush Hill Ln,Milton,MA,02186,1595000,5,5.0,Milton,6351,40000,1986,3,251,,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Milton/34-Brush-Hill-Ln-02186/home/8897301,MLS PIN,72627660,N,Y,42.2474472,-71.1086209
MLS Listing,,Condo/Co-op,610 Bennington St #2,Boston,MA,02128,490000,2,1.0,Boston,893,9999,2015,3,549,200,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/610-Bennington-St-02128/unit-2/home/59240582,MLS PIN,72627646,N,Y,42.3833947,-71.0169958
MLS Listing,,Condo/Co-op,110 Evans Rd #1,Boston,MA,02135,424900,1,1.0,Brighton,590,590,1950,3,720,291,Active,March-8-2020 11:30 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/110-Evans-Rd-02135/unit-1/home/9223606,MLS PIN,72627615,N,Y,42.3402002,-71.1421275
MLS Listing,,Condo/Co-op,74 Tower St #1,Boston,MA,02130,1375000,4,2.5,Jamaica Plain,2150,3500,2020,3,640,,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/74-Tower-St-02130/unit-1/home/170950948,MLS PIN,72624227,N,Y,42.2984546,-71.1106136
MLS Listing,,Single Family Residential,74 Tower St,Boston,MA,02130,1375000,4,2.5,Jamaica Plain,2150,3500,2020,3,640,,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/74-Tower-St-02130/home/170950947,MLS PIN,72623765,N,Y,42.2984546,-71.1106136
MLS Listing,,Condo/Co-op,28 Iffley Rd #2,Boston,MA,02130,679000,2,2.0,Jamaica Plain,1014,,2017,3,670,234,Active,March-8-2020 11:30 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/28-Iffley-Rd-02130/unit-2/home/143983535,MLS PIN,72627593,N,Y,42.3126208,-71.0996989
MLS Listing,,Condo/Co-op,9 Barlow St #1,Boston,MA,02130,499000,2,1.0,Jamaica Plain,1052,,1905,3,474,180,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/9-Barlow-St-02130/unit-1/home/9320438,MLS PIN,72627586,N,Y,42.2964975,-71.1122857
MLS Listing,,Condo/Co-op,141 Dorchester Ave #510,Boston,MA,02127,995000,2,2.0,Boston,1346,1346,2006,3,739,813,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/141-Dorchester-Ave-02127/unit-510/home/18982441,MLS PIN,72627577,N,Y,42.3423405,-71.0578677
MLS Listing,,Condo/Co-op,28 Tremlett St #1,Boston,MA,02124,699000,3,2.0,Dorchester,1920,8277,1910,3,364,273,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Dorchester-Center/28-Tremlett-St-02124/unit-1/home/11924516,MLS PIN,72627569,N,Y,42.2952844,-71.0690674
MLS Listing,,Condo/Co-op,65 Park Dr #19,Boston,MA,02215,735000,2,1.0,The Fenway,805,9999,1920,3,913,396,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/65-Park-Dr-02215/unit-19/home/9274030,MLS PIN,72627561,N,Y,42.3426895,-71.0954037
MLS Listing,,Condo/Co-op,47 Seaverns Ave #5,Boston,MA,02130,799000,3,2.0,Jamaica Plain,2388,,1910,3,335,232,Active,March-8-2020 12:00 PM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/47-Seaverns-Ave-02130/unit-5/home/9145614,MLS PIN,72627534,N,Y,42.3117375,-71.1115364
MLS Listing,,Condo/Co-op,23 Strathmore Rd #3,Brookline,MA,02445,1150000,3,2.0,Brookline,1600,,1900,3,719,438,Active,March-8-2020 01:00 PM,March-8-2020 02:30 PM,http://www.redfin.com/MA/Brookline/23-Strathmore-Rd-02445/unit-3/home/11501442,MLS PIN,72627521,N,Y,42.3361642,-71.1467027
MLS Listing,,Condo/Co-op,9-11 Gartland St #2,Boston,MA,02130,479000,2,1.0,Jamaica Plain,1004,,1905,4,477,200,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/9-Gartland-St-02130/unit-2/home/9299315,MLS PIN,72627498,N,Y,42.3063528,-71.1066298
MLS Listing,,Single Family Residential,1 Rockwood Ter,Boston,MA,02130,2195000,4,2.5,Moss Hill,2800,9087,2020,4,784,,Active,March-8-2020 01:00 PM,March-8-2020 03:00 PM,http://www.redfin.com/MA/Boston/1-Rockwood-Ter-02130/home/170950539,MLS PIN,72627496,N,Y,42.3126947,-71.1278587
MLS Listing,,Condo/Co-op,244 Hyde Park Ave #1,Boston,MA,02130,475000,3,1.0,Jamaica Plain,934,,1945,4,509,200,Active,March-8-2020 11:30 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/244-Hyde-Park-Ave-02130/unit-1/home/9152028,MLS PIN,72627450,N,Y,42.2932579,-71.1172828
MLS Listing,,Condo/Co-op,27 Bowdoin St Unit 1B,Boston,MA,02114,645000,1,1.0,Beacon Hill,619,,1890,4,1042,556,Active,March-8-2020 11:30 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/27-Bowdoin-St-02114/unit-1B/home/9276065,MLS PIN,72627433,N,Y,42.3604697,-71.0630349
MLS Listing,,Townhouse,95 Boardman St #2,Boston,MA,02128,749000,3,2.5,East Boston,1593,,2018,4,470,300,Active,March-8-2020 11:00 AM,March-8-2020 12:45 PM,http://www.redfin.com/MA/Boston/95-Boardman-St-02128/unit-2/home/146235067,MLS PIN,72627370,N,Y,42.3894122,-71.0109524
MLS Listing,,Condo/Co-op,380 Harrison Ave Ph 2M,Boston,MA,02118,1389000,1,1.5,South End,928,,2020,4,1497,1064,Active,,,http://www.redfin.com/MA/Boston/380-Harrison-Ave-02118/unit-2M/home/170949764,MLS PIN,72627341,N,Y,42.343914,-71.0635659
MLS Listing,,Condo/Co-op,691 Massachusetts Ave #208,Boston,MA,02118,799000,1,1.0,Boston,909,909,2010,4,879,507,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/691-Massachusetts-Ave-02118/unit-208/home/40447973,MLS PIN,72627320,N,Y,42.3351902,-71.0758155
MLS Listing,,Condo/Co-op,120 Paul Gore St #1,Boston,MA,02130,619000,3,1.0,Jamaica Plain,1245,1245,1905,4,497,219,Active,March-8-2020 01:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/120-Paul-Gore-St-02130/unit-1/home/9138687,MLS PIN,72627277,N,Y,42.3184684,-71.1055605
MLS Listing,,Single Family Residential,226 Maple St,Boston,MA,02132,849000,4,1.5,West Roxbury,1954,4048,1920,4,434,,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/West-Roxbury/226-Maple-St-02132/home/9206962,MLS PIN,72627245,N,Y,42.2934527,-71.159589
MLS Listing,,Condo/Co-op,55 I St #3,Boston,MA,02127,1049000,3,2.5,South Boston,1753,1753,1999,4,598,300,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/55-I-St-02127/unit-3/home/9302705,MLS PIN,72627202,N,Y,42.3362422,-71.0401458
MLS Listing,,Condo/Co-op,32 Traveler St #503,Boston,MA,02118,1095000,1,1.5,South End,878,,2015,4,1247,792,Active,March-8-2020 12:00 PM,March-8-2020 01:15 PM,http://www.redfin.com/MA/Boston/32-Traveler-St-02118/unit-503/home/114036914,MLS PIN,72627196,N,Y,42.3446088,-71.0638983
MLS Listing,,Condo/Co-op,15 Sleeper #502,Boston,MA,02210,1550000,1,1.0,Seaport District,1450,,1911,4,1069,686,Active,,,http://www.redfin.com/MA/Boston/15-Sleeper-St-02210/unit-502/home/9252747,MLS PIN,72627091,N,Y,42.3519914,-71.0488968
MLS Listing,,Condo/Co-op,217 South St #2,Boston,MA,02130,499000,2,1.0,Jamaica Plain,821,,1918,4,608,200,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/217-South-St-02130/unit-2/home/12548822,MLS PIN,72627063,N,Y,42.3027082,-71.1148542
MLS Listing,,Condo/Co-op,111 Perkins St #230,Boston,MA,02130,379000,1,1.0,Jamaica Plain,845,,1963,4,449,1133,Active,March-8-2020 01:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Jamaica-Plain/111-Perkins-St-02130/unit-230/home/25725895,MLS PIN,72627055,N,Y,42.3222155,-71.1159742
MLS Listing,,Condo/Co-op,6 Goodwin Pl Unit B,Boston,MA,02114,399999,1,1.0,Beacon Hill,235,235,1899,4,1702,211,Active,March-8-2020 12:00 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/6-Goodwin-Pl-02114/unit-B/home/9236734,MLS PIN,72627015,N,Y,42.3597567,-71.0691768
MLS Listing,,Condo/Co-op,141 Dorchester Ave #317,Boston,MA,02127,1299000,2,2.0,South Boston,1544,1544,2006,4,841,1060,Active,March-8-2020 11:30 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/141-Dorchester-Ave-02127/unit-317/home/18982731,MLS PIN,72627004,N,Y,42.3423405,-71.0578677
MLS Listing,,Condo/Co-op,55 E Springfield St #5,Boston,MA,02118,679000,1,1.0,South End,765,,2019,4,888,250,Active,,,http://www.redfin.com/MA/Boston/55-E-Springfield-St-02118/unit-5/home/160716600,MLS PIN,72626972,N,Y,42.3355293,-71.0748591
MLS Listing,,Condo/Co-op,50 Liberty Dr Unit 6F,Boston,MA,02210,3300000,2,2.5,Seaport District,1546,,2018,4,2135,1952,Active,,,http://www.redfin.com/MA/Boston/50-Liberty-Dr-02210/unit-6F/home/167072341,MLS PIN,72626962,N,Y,42.3542329,-71.0444207
MLS Listing,,Condo/Co-op,261 Webster St #1,Boston,MA,02128,525000,2,1.0,East Boston's Jeffries Point,802,802,1924,4,655,145,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/261-Webster-St-02128/unit-1/home/18977458,MLS PIN,72626961,N,Y,42.3645134,-71.0313896
MLS Listing,,Condo/Co-op,17 Clark St #1,Boston,MA,02109,650000,1,1.5,North End,857,,1900,4,758,210,Active,March-8-2020 11:30 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/17-Clark-St-02109/unit-1/home/9329418,MLS PIN,72626946,N,Y,42.3650635,-71.0526899
MLS Listing,,Townhouse,58 Rutland #1,Boston,MA,02118,2675000,3,3.5,Boston,2239,,2016,4,1195,375,Active,March-8-2020 12:00 PM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/58-Rutland-St-02118/unit-1/home/104036366,MLS PIN,72626929,N,Y,42.3399752,-71.0765269
MLS Listing,,Condo/Co-op,8 Pacific St #2,Boston,MA,02127,810000,2,1.5,South Boston,1077,,1890,4,752,225,Active,,,http://www.redfin.com/MA/Boston/8-Pacific-St-02127/unit-2/home/9324275,MLS PIN,72626915,N,Y,42.3341044,-71.0453864
MLS Listing,,Condo/Co-op,201 Marion #1,Boston,MA,02128,449999,2,1.0,Boston,690,,1910,5,652,270,Active,March-8-2020 12:30 PM,March-8-2020 02:30 PM,http://www.redfin.com/MA/Boston/201-Marion-St-02128/unit-1/home/143083153,MLS PIN,72626911,N,Y,42.3752144,-71.0347882
MLS Listing,,Condo/Co-op,40 Traveler Unit 212.,Boston,MA,02118,725000,1,1.0,South End,574,,2018,5,1263,456,Active,March-8-2020 01:00 PM,March-8-2020 03:00 PM,http://www.redfin.com/MA/Boston/40-Traveler-St-02118/unit-212/home/113228167,MLS PIN,72626907,N,Y,42.3443125,-71.0629483
MLS Listing,,Condo/Co-op,20 Chapel St Unit C1001,Brookline,MA,02446,2295000,3,3.5,Brookline,2486,,1920,5,923,2269,Active,,,http://www.redfin.com/MA/Brookline/20-Chapel-St-02446/unit-C1001/home/12457993,MLS PIN,72626866,N,Y,42.3410329,-71.1110021
MLS Listing,,Condo/Co-op,777 E 6th St #1,Boston,MA,02127,584900,2,1.5,South Boston,916,,1896,5,639,250,Active,March-8-2020 11:00 AM,March-8-2020 01:00 PM,http://www.redfin.com/MA/Boston/777-E-6th-St-02127/unit-1/home/167702507,MLS PIN,72626848,N,Y,42.3331144,-71.029336
MLS Listing,,Single Family Residential,12 Emmet St,Boston,MA,02127,840000,4,2.5,South Boston,1540,1040,1890,5,545,,Active,,,http://www.redfin.com/MA/Boston/12-Emmet-St-02127/home/11734875,MLS PIN,72626792,N,Y,42.3369772,-71.0387846
MLS Listing,,Condo/Co-op,43 Stellman Rd #2,Boston,MA,02131,399000,2,1.0,Roslindale,870,870,1920,5,459,250,Active,March-8-2020 11:00 AM,March-8-2020 12:30 PM,http://www.redfin.com/MA/Boston/43-Stellman-Rd-02131/unit-2/home/12441441,MLS PIN,72626783,N,Y,42.2888005,-71.1220801
MLS Listing,,Townhouse,341 Beacon Ph 6D,Boston,MA,02116,4200000,3,2.5,Back Bay,2160,,1900,5,1944,1469,Active,March-8-2020 12:30 PM,March-8-2020 02:00 PM,http://www.redfin.com/MA/Boston/341-Beacon-St-02116/unit-6D/home/9238414,MLS PIN,72626742,N,Y,42.352331,-71.0829526
MLS Listing,,Condo/Co-op,32 Rutland St Unit 1L,Boston,MA,02118,3950000,3,3.0,South End,3443,3443,1899,5,1147,1155,Active,,,http://www.redfin.com/MA/Boston/32-Rutland-St-02118/unit-1L/home/40397558,MLS PIN,72626683,N,Y,42.339472,-71.0758224
MLS Listing,,Condo/Co-op,110 Stuart St Unit 27G,Boston,MA,02116,2880000,2,2.5,Back Bay,1872,1872,2009,5,1538,2285,Active,,,http://www.redfin.com/MA/Boston/110-Stuart-St-02116/unit-27G/home/39913389,MLS PIN,72626671,N,Y,42.350966,-71.0655877
MLS Listing,,Condo/Co-op,390 Commonwealth Ave Unit 408/409,Boston,MA,02215,2490000,4,3.0,Back Bay,2200,,1908,5,1132,2067,Active,,,http://www.redfin.com/MA/Boston/390-Commonwealth-Ave-02215/unit-408/home/9239818,MLS PIN,72626639,N,Y,42.3485811,-71.0902534
MLS Listing,,Condo/Co-op,90 Commonwealth Ave Unit 2/3,Boston,MA,02116,4799000,5,4.5,Back Bay,3062,,1925,5,1567,2212,Active,,,http://www.redfin.com/MA/Boston/90-Commonwealth-Ave-02116/unit-23/home/9264146,MLS PIN,72626618,N,Y,42.3520742,-71.0756695
MLS Listing,,Condo/Co-op,133 Seaport Blvd #2208,Boston,MA,02210,4629350,3,3.5,Seaport District,1878,,2019,5,2465,2725,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-2208/home/148367500,MLS PIN,72626611,N,Y,42.3508925,-71.0435336
MLS Listing,,Condo/Co-op,133 Seaport Blvd #1708,Boston,MA,02210,2825000,2,2.5,Seaport District,1571,,2019,5,1798,1738,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-1708/home/168868232,MLS PIN,72626608,N,Y,42.3504935,-71.0434498
MLS Listing,,Condo/Co-op,133 Seaport Blvd #1012,Boston,MA,02210,1135800,1,1.0,Seaport District,691,,2019,5,1644,683,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-1012/home/167906384,MLS PIN,72626605,N,Y,42.3504935,-71.0434498
MLS Listing,,Condo/Co-op,133 Seaport Blvd #1219,Boston,MA,02210,1116000,1,1.0,Seaport District,651,,2019,5,1714,683,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-1219/home/169728939,MLS PIN,72626603,N,Y,42.3504935,-71.0434498
MLS Listing,,Condo/Co-op,135 Seaport Blvd #1118,Boston,MA,02210,829700,0,1.0,Seaport District,520,,2020,5,1596,541,Active,,,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-1118/home/170936499,MLS PIN,72626598,N,Y,42.3509604,-71.0439013
MLS Listing,,Condo/Co-op,133 Seaport Blvd #1117,Boston,MA,02210,1625000,2,2.0,Seaport District,1068,,2019,5,1522,1159,Active,,,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-1117/home/170936435,MLS PIN,72626588,N,Y,42.3504935,-71.0434498
MLS Listing,,Condo/Co-op,135 Seaport Blvd #707,Boston,MA,02210,1291000,1,1.0,Seaport District,845,,2020,5,1528,898,Active,,,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-707/home/170936434,MLS PIN,72626583,N,Y,42.3509604,-71.0439013
MLS Listing,,Townhouse,212 Commonwealth Ave,Boston,MA,02116,8900000,3,3.5,Back Bay,4131,,1899,5,2154,,Active,,,http://www.redfin.com/MA/Boston/212-Commonwealth-Ave-02116/home/9265883,MLS PIN,72626575,N,Y,42.3506744,-71.0810917
MLS Listing,,Single Family Residential,50 Medford St,Chelsea,MA,02150,629000,3,1.5,Chelsea,1712,1100,1857,5,367,,Active,March-8-2020 01:00 PM,March-8-2020 03:00 PM,http://www.redfin.com/MA/Chelsea/50-Medford-St-02150/home/9001205,MLS PIN,72626559,N,Y,42.3870345,-71.0422216
MLS Listing,,Townhouse,184 Marlborough #7,Boston,MA,02116,3095000,3,2.5,Back Bay,1912,,1900,5,1619,1067,Active,March-8-2020 01:00 PM,March-8-2020 03:00 PM,http://www.redfin.com/MA/Boston/184-Marlborough-St-02116/unit-7/home/9238040,MLS PIN,72626539,N,Y,42.3522524,-71.0799964
MLS Listing,,Multi-Family (2-4 Unit),1209 Bennington St,Boston,MA,02128,849900,5,3.0,East Boston,2482,5082,1910,5,342,,Active,,,http://www.redfin.com/MA/Boston/1209-Bennington-St-02128/home/9110135,MLS PIN,72626492,N,Y,42.3891081,-70.9977502
MLS Listing,,Condo/Co-op,615 Massachusetts Ave #2,Boston,MA,02118,1550000,3,2.0,South End,1457,1457,1890,5,1064,407,Active,March-8-2020 01:30 PM,March-8-2020 03:00 PM,http://www.redfin.com/MA/Boston/615-Massachusetts-Ave-02118/unit-2/home/9287424,MLS PIN,72626472,N,Y,42.3369166,-71.0779093
MLS Listing,,Condo/Co-op,96 Linden St #1,Boston,MA,02134,389500,1,1.0,Allston,675,,1920,5,577,290,Active,,,http://www.redfin.com/MA/Boston/96-Linden-St-02134/unit-1/home/8994869,MLS PIN,72626462,N,Y,42.3513473,-71.1298556
MLS Listing,,Multi-Family (2-4 Unit),51 Jeffries St,Boston,MA,02128,1089999,6,4.0,East Boston,1775,1161,1900,5,614,,Active,,,http://www.redfin.com/MA/Boston/51-Jeffries-St-02128/home/9111618,MLS PIN,72626456,N,Y,42.3642329,-71.0301587
MLS Listing,,Condo/Co-op,14 Murray Ct #2,Boston,MA,02128,729000,2,2.0,East Boston's Jeffries Point,980,2288,2020,5,744,205,Active,,,http://www.redfin.com/MA/Boston/14-Murray-Ct-02128/unit-2/home/170934987,MLS PIN,72626433,N,Y,42.3676137,-71.0376776
MLS Listing,,Condo/Co-op,160 Commonwealth #518,Boston,MA,02116,1750000,2,2.0,Back Bay,1464,,1881,5,1195,1357,Active,,,http://www.redfin.com/MA/Boston/160-Commonwealth-Ave-02116/unit-518/home/9265313,MLS PIN,72626397,N,Y,42.3512759,-71.0786479
MLS Listing,,Condo/Co-op,1 Franklin St #1809,Boston,MA,02110,1195000,1,1.0,Midtown,780,,2016,5,1532,643,Active,March-8-2020 12:00 PM,March-8-2020 01:30 PM,http://www.redfin.com/MA/Boston/1-Franklin-St-02110/unit-1809/home/144441765,MLS PIN,72626389,N,Y,42.3563166,-71.0595573
MLS Listing,,Condo/Co-op,9 Leamington Rd #3,Boston,MA,02135,595000,3,1.0,Brighton,1165,,1900,5,511,275,Active,,,http://www.redfin.com/MA/Brighton/9-Leamington-Rd-02135/unit-3/home/9007499,MLS PIN,72626378,N,Y,42.3423524,-71.1489828
